# Generated by scripts/make_figures.py from the archived artifacts.
# Do not edit by hand; run `python scripts/make_figures.py` instead.
n freefermion exactdiag statevector aer4096
4 0.000125 0.000095 0.000150 0.013850
6 0.000055 0.000191 0.000133 0.011392
8 0.000070 0.006890 0.000244 0.011817
10 0.000070 0.108033 0.000481 0.013282
12 0.000085 1.903698 0.001230 0.009757
14 0.000094 113.512112 0.005347 0.012071
16 0.000128 nan 0.028658 0.013687
18 0.000098 nan 0.143246 0.012988
20 0.000166 nan 0.579697 0.023918
22 0.000153 nan 2.404727 0.058949
24 0.000170 nan 10.424958 0.175227
